"CountryCode","SeriesCode","DESCRIPTION",
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ATG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ATG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AUS","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AUS","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AUS","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AUS","IT.NET.USER.ZS","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AUS","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"AUS","SP.DYN.TFRT.IN","Data source: Australian Bureau of Statistics",
"AUS","SP.POP.65UP.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUT","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AUT","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AUT","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AUT","IT.NET.USER.ZS","Until 2001: Federal Ministry for Science and Transport. Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).",
"AUT","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AUT","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"AUT","SP.DYN.TFRT.IN","Data source: Eurostat",
"AZE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AZE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AZE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AZE","IT.NET.USER.ZS","Ministry of Communications and Information Technologies.",
"AZE","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AZE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AZE","SP.DYN.TFRT.IN","Data source: State Statistical Committee, Eurostat, United Nations World Population Prospects",
"BDI","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"BDI","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BDI","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BDI","IT.NET.USER.ZS","Until 2001: Office National des Télécommunications (ONATEL). Agence de Régulation et de Contrôle des Télécommunications.",
"BDI","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BEL","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BEL","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BEL","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BEL","IT.NET.USER.ZS","Institut belge des services postaux et des télécommunications (IBPT).",
"BEL","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BEL","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"BEL","SP.DYN.TFRT.IN","Data source: Eurostat",
"BEN","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BEN","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BEN","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BEN","IT.NET.USER.ZS","Office des Postes et Télécommunications (OPT).",
"BEN","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BFA","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"BFA","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BFA","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BFA","IT.NET.USER.ZS","Office National des Télécommunications (ONATEL). 1997-2000: Direction Générale de l'Office National des Télécommunications.",
"BFA","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BGD","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BGD","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BGD","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BGD","IT.NET.USER.ZS","Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.",
"BGD","SG.GEN.PARL.ZS","In 2004, the number of seats in parliament was raised from 300 to 345, with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005, being allocated to political parties in proportion to their share of the national vote received in the 2001 election. 
The parliament was dissolved on 27 October 2006, in view of elections that are yet to take place. Women held 52 of the 345 seats (15%) in the outgoing parliament. 
45 reserved seats reserved for women are yet to be filled in 2008.",
"BGD","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BGR","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BGR","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BGR","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BGR","IT.NET.USER.ZS","Bulgarian Telecommunications Company Ltd. From 2002: Communications Regulation Commission.",
"BGR","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BGR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"BGR","SP.DYN.TFRT.IN","Data source: Eurostat",
"BHR","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BHR","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BHR","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BHR","IT.NET.USER.ZS","Bahrain Telecommunications Company. From 2004: Telecommunications Regulatory Authority (TRA).",
"BHR","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BHS","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"BHS","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BHS","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BHS","IT.NET.USER.ZS","Batelco, Bahamas Telecommunications Corporation.",
"BHS","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BIH","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BIH","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BIH","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BIH","IT.NET.USER.ZS","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH). From 2002: Communications Regulatory Agency B & H.",
"BIH","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BLR","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BLR","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BLR","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BLR","IT.NET.USER.ZS","Beltelecom. From 2003: Ministry of Communications and Informatization.",
"BLR","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BLR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"BLR","SP.DYN.TFRT.IN","Data source: Eurostat, Center for Demography and Human Ecology, United Nations World Population Prospects",
"BLZ","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"BLZ","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BLZ","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BLZ","IT.NET.USER.ZS","Belize Telecommunications Ltd (BTL).",
"BLZ","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BOL","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BOL","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BOL","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BOL","IT.NET.USER.ZS","Until 1998: Empresa Nacional de Telecomunicaciones (ENTEL). Superintendencia de Telecomunicaciones.",
"BOL","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BRA","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BRA","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BRA","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BRA","IT.NET.USER.ZS","Telecomunicaçoes Brasileiras S.A. From 1998: Agência Nacional de Telecomunicações (ANATEL).",
"BRA","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BRB","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"BRB","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BRB","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BRB","IT.NET.USER.ZS","Cable and Wireless (Barbados) Limited. From 2003: Ministry of Energy and Public Utilities.",
"BRB","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BRN","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BRN","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BRN","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BRN","IT.NET.USER.ZS","Jabatan Telekom Brunei (JTB). Ministry of Communications. From 2002: Authority for Info-communications Technology Industry of Brunei Darussalam (AiTi.)",
"BRN","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BRN","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BRN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BTN","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"BTN","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BTN","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"BTN","IT.NET.USER.ZS","Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",
"BTN","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BTN","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BTN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BWA","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"BWA","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BWA","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"BWA","IT.NET.USER.ZS","Botswana Telecommunication Corporation. From 2003: Botswana Telecommunications Authority (BTA).",
"BWA","SM.POP.NETM","Data source: United Nations World Population Prospects",
"BWA","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BWA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CAF","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"CAF","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"CAF","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"CAF","IT.NET.USER.ZS","Société Centrafricaine de Télécommunications (SOCATEL).",
"CAF","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CAF","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CAF","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CAN","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CAN","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CAN","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CAN","IT.NET.USER.ZS","Statistics Canada. Canadian Radio-television and Telecommunications Commission.",
"CAN","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CAN","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"CAN","SP.DYN.TFRT.IN","Data source: Statistics Canada, United Nations World Population Prospects",
"CHE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CHE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CHE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CHE","IT.NET.USER.ZS","Swisscom. From 1999: OFCOM.",
"CHE","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CHE","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"CHE","SP.DYN.TFRT.IN","Data source: Eurostat",
"CHL","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CHL","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CHL","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CHL","IT.NET.USER.ZS","Until 1998: Ministerio de Transportes y Telecomunicaciones. Subsecretaría de Telecomunicaciones (Subtel).",
"CHL","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CHL","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CHL","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CHN","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CHN","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CHN","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CHN","IT.NET.USER.ZS","Ministry of Information Industry (MII). Ministry of Industry and Information Technology.",
"CHN","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CHN","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CHN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CHN","SP.POP.65UP.TO.ZS","Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China.",
"CIV","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CIV","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CIV","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CIV","IT.NET.USER.ZS","Until 1996: Société Côte d'Ivoire-TELECOM (CI-TELCOM). Agence des Télécommunications de Côte d'Ivoire.",
"CIV","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CIV","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CIV","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CMR","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CMR","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CMR","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CMR","IT.NET.USER.ZS","Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.",
"CMR","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CMR","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CMR","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"COD","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"COD","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"COD","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"COD","IT.NET.USER.ZS","Until 2002: Ministère des Postes et Télécommunications. Autorité de Régulation de la Poste et des Télécommunications.",
"COD","SM.POP.NETM","Data source: United Nations World Population Prospects",
"COD","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"COD","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"COG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"COG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"COG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"COG","IT.NET.USER.ZS","Direction Générale de l'Administsration Centrale des Postes et Télécommunications.",
"COG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"COG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"COG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"COL","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"COL","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"COL","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"COL","IT.NET.USER.ZS","Ministerio de Comunicaciones.",
"COL","SM.POP.NETM","Data source: United Nations World Population Prospects",
"COL","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"COL","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects, DHS 2010",
"COM","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"COM","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"COM","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"COM","IT.NET.USER.ZS","Société Nationale des Postes et Telecommunications (SNPT). Since 2005: Comores Télécom.",
"COM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"COM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"COM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CPV","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"CPV","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"CPV","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"CPV","IT.NET.USER.ZS","Cabo Verde Telecom. From 2004: Instituto das Comunicações e das Tecnologias de Informação.",
"CPV","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CPV","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CPV","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CRI","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CRI","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CRI","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CRI","IT.NET.USER.ZS","Instituto Costarricense de Electricidad (ICE).",
"CRI","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CRI","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CRI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CUB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CUB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CUB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CUB","IT.NET.USER.ZS","Ministerio de la Informática y las Comunicaciones.",
"CUB","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CUB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CUB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CYP","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CYP","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CYP","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CYP","IT.NET.USER.ZS","Cyprus Telecommunications Authority (CYTA). 2007: Office of the Commissioner for Electronic Communications and Postal Regulation.",
"CYP","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CYP","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"CYP","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"CYP","SP.POP.65UP.TO.ZS","Including Northern-Cyprus.",
"CZE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"CZE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CZE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"CZE","IT.NET.USER.ZS","Ministry of Economy. Czech Telecommunication Office.",
"CZE","SM.POP.NETM","Data source: United Nations World Population Prospects",
"CZE","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"CZE","SP.DYN.TFRT.IN","Data source: Eurostat",
"DEU","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"DEU","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
