"CountryCode","SeriesCode","Year","DESCRIPTION",
"AGO","SH.STA.OWAD.ZS","YR1984","Plausible bound is 7.9 - 14.5",
"AGO","SH.STA.OWAD.ZS","YR1985","Plausible bound is 8.2 - 14.9",
"AGO","SH.STA.OWAD.ZS","YR1986","Plausible bound is 8.6 - 15.2",
"AGO","SH.STA.OWAD.ZS","YR1987","Plausible bound is 8.9 - 15.6",
"AGO","SH.STA.OWAD.ZS","YR1988","Plausible bound is 9.3 - 16",
"AGO","SH.STA.OWAD.ZS","YR1989","Plausible bound is 9.6 - 16.4",
"AGO","SH.STA.OWAD.ZS","YR1990","Plausible bound is 10 - 16.9",
"AGO","SH.STA.OWAD.ZS","YR1991","Plausible bound is 10.3 - 17.3",
"AGO","SH.STA.OWAD.ZS","YR1992","Plausible bound is 10.7 - 17.8",
"AGO","SH.STA.OWAD.ZS","YR1993","Plausible bound is 11.1 - 18.3",
"AGO","SH.STA.OWAD.ZS","YR1994","Plausible bound is 11.5 - 18.7",
"AGO","SH.STA.OWAD.ZS","YR1995","Plausible bound is 11.9 - 19.2",
"AGO","SH.STA.OWAD.ZS","YR1996","Plausible bound is 12.3 - 19.7",
"AGO","SH.STA.OWAD.ZS","YR1997","Plausible bound is 12.8 - 20.2",
"AGO","SH.STA.OWAD.ZS","YR1998","Plausible bound is 13.3 - 20.8",
"AGO","SH.STA.OWAD.ZS","YR1999","Plausible bound is 13.7 - 21.3",
"AGO","SH.STA.OWAD.ZS","YR2000","Plausible bound is 14.2 - 21.9",
"AGO","SH.STA.OWAD.ZS","YR2001","Plausible bound is 14.6 - 22.4",
"AGO","SH.STA.OWAD.ZS","YR2002","Plausible bound is 15.1 - 23",
"AGO","SH.STA.OWAD.ZS","YR2003","Plausible bound is 15.6 - 23.6",
"AGO","SH.STA.OWAD.ZS","YR2004","Plausible bound is 16.1 - 24.2",
"AGO","SH.STA.OWAD.ZS","YR2005","Plausible bound is 16.6 - 24.8",
"AGO","SH.STA.OWAD.ZS","YR2006","Plausible bound is 17.2 - 25.5",
"AGO","SH.STA.OWAD.ZS","YR2007","Plausible bound is 17.7 - 26.2",
"AGO","SH.STA.OWAD.ZS","YR2008","Plausible bound is 18.2 - 26.8",
"AGO","SH.STA.OWAD.ZS","YR2009","Plausible bound is 18.6 - 27.6",
"AGO","SH.STA.OWAD.ZS","YR2010","Plausible bound is 19.2 - 28.3",
"AGO","SH.STA.OWAD.ZS","YR2011","Plausible bound is 19.7 - 29",
"AGO","SH.STA.OWAD.ZS","YR2012","Plausible bound is 20.1 - 29.8",
"AGO","SH.STA.OWAD.ZS","YR2013","Plausible bound is 20.7 - 30.6",
"AGO","SH.STA.OWAD.ZS","YR2014","Plausible bound is 21.2 - 31.5",
"AGO","SH.STA.OWAD.ZS","YR2015","Plausible bound is 21.7 - 32.4",
"AGO","SH.STA.OWAD.ZS","YR2016","Plausible bound is 22.1 - 33.3",
"AGO","SI.DST.FRST.20","YR2000","Based on data from HBS. Estimated from unit-record consumption data.",
"AGO","SI.DST.FRST.20","YR2008","Based on data from IBEP-MICS. Estimated from unit-record consumption data.",
"AGO","SI.DST.FRST.20","YR2018","Based on data from IDREA. Estimated from unit-record consumption data.",
"AGO","SI.POV.GINI","YR2000","Based on data from HBS. Estimated from unit-record consumption data.",
"AGO","SI.POV.GINI","YR2008","Based on data from IBEP-MICS. Estimated from unit-record consumption data.",
"AGO","SI.POV.GINI","YR2018","Based on data from IDREA. Estimated from unit-record consumption data.",
"AGO","SI.POV.NAHC","YR2018","Source: World Bank Poverty Assessment (2020)",
"AGO","SL.TLF.0714.ZS","YR2001","Multiple Indicator Cluster Survey (MICS). Covers only Angola-secured territory.",
"AGO","SP.UWT.TFRT","YR2016","Source: Angola 2015-2016 Demographic and Health Survey",
"ALB","IT.NET.USER.ZS","YR1990","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR1995","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR1996","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR1997","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR1998","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR1999","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR2000","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR2001","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR2002","Source: Albanian Telecom Enterprise.",
"ALB","IT.NET.USER.ZS","YR2003","Source: Ministry of Transport and Telecommunications.",
"ALB","IT.NET.USER.ZS","YR2004","Source: Ministry of Transport and Telecommunications.",
"ALB","IT.NET.USER.ZS","YR2005","Source: Ministry of Transport and Telecommunications.",
"ALB","IT.NET.USER.ZS","YR2006","Source: ITU estimate.",
"ALB","IT.NET.USER.ZS","YR2007","Source: ITU estimate.",
"ALB","IT.NET.USER.ZS","YR2008","Source: Minister for Innovation and ICT",
"ALB","IT.NET.USER.ZS","YR2009","Source: Minister for Innovation and ICT",
"ALB","IT.NET.USER.ZS","YR2010","Source: Minister for Innovation and ICT",
"ALB","IT.NET.USER.ZS","YR2011","Source: ITU estimate.",
"ALB","IT.NET.USER.ZS","YR2012","Source: ITU estimate.",
"ALB","IT.NET.USER.ZS","YR2013","Source: ITU estimate.",
"ALB","IT.NET.USER.ZS","YR2014","Source: ITU estimate.",
"ALB","IT.NET.USER.ZS","YR2015","Source: ITU estimate.",
"ALB","IT.NET.USER.ZS","YR2016","Source: ITU estimate.",
"ALB","IT.NET.USER.ZS","YR2017","Source: ITU estimate.",
"ALB","SE.ADT.LITR.ZS","YR2018","UIS Estimation",
"ALB","SH.DYN.MORT","YR1978","Uncertainty bound is 64.1 - 140.1",
"ALB","SH.DYN.MORT","YR1979","Uncertainty bound is 62.1 - 122.8",
"ALB","SH.DYN.MORT","YR1980","Uncertainty bound is 59.9 - 108.6",
"ALB","SH.DYN.MORT","YR1981","Uncertainty bound is 57.3 - 96.4",
"ALB","SH.DYN.MORT","YR1982","Uncertainty bound is 54.9 - 85.7",
"ALB","SH.DYN.MORT","YR1983","Uncertainty bound is 52.2 - 77.1",
"ALB","SH.DYN.MORT","YR1984","Uncertainty bound is 49.6 - 69.8",
"ALB","SH.DYN.MORT","YR1985","Uncertainty bound is 47 - 63.9",
"ALB","SH.DYN.MORT","YR1986","Uncertainty bound is 44.5 - 58.9",
"ALB","SH.DYN.MORT","YR1987","Uncertainty bound is 42.2 - 54.7",
"ALB","SH.DYN.MORT","YR1988","Uncertainty bound is 40 - 51.3",
"ALB","SH.DYN.MORT","YR1989","Uncertainty bound is 38.1 - 48.4",
"ALB","SH.DYN.MORT","YR1990","Uncertainty bound is 36.4 - 46.1",
"ALB","SH.DYN.MORT","YR1991","Uncertainty bound is 35 - 44.1",
"ALB","SH.DYN.MORT","YR1992","Uncertainty bound is 33.7 - 42.3",
"ALB","SH.DYN.MORT","YR1993","Uncertainty bound is 32.5 - 40.8",
"ALB","SH.DYN.MORT","YR1994","Uncertainty bound is 31.4 - 39.4",
"ALB","SH.DYN.MORT","YR1995","Uncertainty bound is 30.3 - 37.9",
"ALB","SH.DYN.MORT","YR1996","Uncertainty bound is 29.2 - 36.4",
"ALB","SH.DYN.MORT","YR1997","Uncertainty bound is 28.1 - 34.9",
"ALB","SH.DYN.MORT","YR1998","Uncertainty bound is 27 - 33.3",
"ALB","SH.DYN.MORT","YR1999","Uncertainty bound is 25.9 - 31.6",
"ALB","SH.DYN.MORT","YR2000","Uncertainty bound is 24.8 - 29.9",
"ALB","SH.DYN.MORT","YR2001","Uncertainty bound is 23.7 - 28.1",
"ALB","SH.DYN.MORT","YR2002","Uncertainty bound is 22.7 - 26.2",
"ALB","SH.DYN.MORT","YR2003","Uncertainty bound is 21.6 - 24.4",
"ALB","SH.DYN.MORT","YR2004","Uncertainty bound is 20.4 - 22.5",
"ALB","SH.DYN.MORT","YR2005","Uncertainty bound is 19.2 - 20.8",
"ALB","SH.DYN.MORT","YR2006","Uncertainty bound is 17.9 - 19.1",
"ALB","SH.DYN.MORT","YR2007","Uncertainty bound is 16.6 - 17.6",
"ALB","SH.DYN.MORT","YR2008","Uncertainty bound is 15.3 - 16.2",
"ALB","SH.DYN.MORT","YR2009","Uncertainty bound is 14 - 14.9",
"ALB","SH.DYN.MORT","YR2010","Uncertainty bound is 12.8 - 13.7",
"ALB","SH.DYN.MORT","YR2011","Uncertainty bound is 11.7 - 12.6",
"ALB","SH.DYN.MORT","YR2012","Uncertainty bound is 10.8 - 11.6",
"ALB","SH.DYN.MORT","YR2013","Uncertainty bound is 10.1 - 10.8",
"ALB","SH.DYN.MORT","YR2014","Uncertainty bound is 9.5 - 10.3",
"ALB","SH.DYN.MORT","YR2015","Uncertainty bound is 9.2 - 9.9",
"ALB","SH.DYN.MORT","YR2016","Uncertainty bound is 9.1 - 9.8",
"ALB","SH.DYN.MORT","YR2017","Uncertainty bound is 9 - 9.8",
"ALB","SH.DYN.MORT","YR2018","Uncertainty bound is 9.1 - 10",
"ALB","SH.DYN.MORT","YR2019","Uncertainty bound is 9.1 - 10.3",
"ALB","SH.STA.OWAD.ZS","YR1975","Plausible bound is 26.3 - 41.2",
"ALB","SH.STA.OWAD.ZS","YR1976","Plausible bound is 27 - 41.3",
"ALB","SH.STA.OWAD.ZS","YR1977","Plausible bound is 27.7 - 41.5",
"ALB","SH.STA.OWAD.ZS","YR1978","Plausible bound is 28.4 - 41.6",
"ALB","SH.STA.OWAD.ZS","YR1979","Plausible bound is 29 - 41.7",
"ALB","SH.STA.OWAD.ZS","YR1980","Plausible bound is 29.7 - 41.9",
"ALB","SH.STA.OWAD.ZS","YR1981","Plausible bound is 30.3 - 42.1",
"ALB","SH.STA.OWAD.ZS","YR1982","Plausible bound is 31 - 42.4",
"ALB","SH.STA.OWAD.ZS","YR1983","Plausible bound is 31.6 - 42.7",
"ALB","SH.STA.OWAD.ZS","YR1984","Plausible bound is 32.3 - 42.9",
"ALB","SH.STA.OWAD.ZS","YR1985","Plausible bound is 32.8 - 43.3",
"ALB","SH.STA.OWAD.ZS","YR1986","Plausible bound is 33.4 - 43.6",
"ALB","SH.STA.OWAD.ZS","YR1987","Plausible bound is 34.1 - 44",
"ALB","SH.STA.OWAD.ZS","YR1988","Plausible bound is 34.6 - 44.3",
"ALB","SH.STA.OWAD.ZS","YR1989","Plausible bound is 35.2 - 44.7",
"ALB","SH.STA.OWAD.ZS","YR1990","Plausible bound is 35.8 - 45.1",
"ALB","SH.STA.OWAD.ZS","YR1991","Plausible bound is 36.4 - 45.6",
"ALB","SH.STA.OWAD.ZS","YR1992","Plausible bound is 36.9 - 46",
"ALB","SH.STA.OWAD.ZS","YR1993","Plausible bound is 37.5 - 46.5",
"ALB","SH.STA.OWAD.ZS","YR1994","Plausible bound is 38.1 - 47",
"ALB","SH.STA.OWAD.ZS","YR1995","Plausible bound is 38.8 - 47.4",
"ALB","SH.STA.OWAD.ZS","YR1996","Plausible bound is 39.4 - 47.9",
"ALB","SH.STA.OWAD.ZS","YR1997","Plausible bound is 40 - 48.4",
"ALB","SH.STA.OWAD.ZS","YR1998","Plausible bound is 40.6 - 49",
"ALB","SH.STA.OWAD.ZS","YR1999","Plausible bound is 41.2 - 49.5",
"ALB","SH.STA.OWAD.ZS","YR2000","Plausible bound is 41.9 - 50.1",
"ALB","SH.STA.OWAD.ZS","YR2001","Plausible bound is 42.6 - 50.6",
"ALB","SH.STA.OWAD.ZS","YR2002","Plausible bound is 43.4 - 51.3",
"ALB","SH.STA.OWAD.ZS","YR2003","Plausible bound is 44.1 - 51.9",
"ALB","SH.STA.OWAD.ZS","YR2004","Plausible bound is 44.8 - 52.6",
"ALB","SH.STA.OWAD.ZS","YR2005","Plausible bound is 45.6 - 53.3",
